wrapper  | --> Wrapper Started as Console
wrapper  | Launching a JVM...
jvm 1    | Java HotSpot(TM) 64-Bit Server VM warning: ignoring option MaxPermSize=192m; support was removed in 8.0
jvm 1    | Wrapper (Version 3.2.3) http://wrapper.tanukisoftware.org
jvm 1    |   Copyright 1999-2006 Tanuki Software, Inc.  All Rights Reserved.
jvm 1    | 
jvm 1    | 2018-03-02 16:09:06,160+0530 INFO  [WrapperListener_start_runner]  org.sonatype.nexus.bootstrap.jsw.JswLauncher - Starting with arguments: [./conf/jetty.xml, ./conf/jetty-requestlog.xml]
jvm 1    | 2018-03-02 16:09:06,169+0530 INFO  [WrapperListener_start_runner]  org.sonatype.nexus.bootstrap.jsw.JswLauncher - JVM ID: 1, JVM PID: 15015, Wrapper PID: 15013, User: gamut
jvm 1    | 2018-03-02 16:09:06,441+0530 INFO  [WrapperListener_start_runner]  org.sonatype.nexus.bootstrap.ConfigurationBuilder - Properties:
jvm 1    | 2018-03-02 16:09:06,454+0530 INFO  [WrapperListener_start_runner]  org.sonatype.nexus.bootstrap.ConfigurationBuilder -   application-conf='/home/gamut/softwares/nexus-2.14.7-01/../sonatype-work/nexus/conf'
jvm 1    | 2018-03-02 16:09:06,454+0530 INFO  [WrapperListener_start_runner]  org.sonatype.nexus.bootstrap.ConfigurationBuilder -   application-host='0.0.0.0'
jvm 1    | 2018-03-02 16:09:06,454+0530 INFO  [WrapperListener_start_runner]  org.sonatype.nexus.bootstrap.ConfigurationBuilder -   application-port='8081'
jvm 1    | 2018-03-02 16:09:06,454+0530 INFO  [WrapperListener_start_runner]  org.sonatype.nexus.bootstrap.ConfigurationBuilder -   bundleBasedir='/home/gamut/softwares/nexus-2.14.7-01'
jvm 1    | 2018-03-02 16:09:06,454+0530 INFO  [WrapperListener_start_runner]  org.sonatype.nexus.bootstrap.ConfigurationBuilder -   java.awt.headless='true'
jvm 1    | 2018-03-02 16:09:06,454+0530 INFO  [WrapperListener_start_runner]  org.sonatype.nexus.bootstrap.ConfigurationBuilder -   networkaddress.cache.ttl='3600'
jvm 1    | 2018-03-02 16:09:06,454+0530 INFO  [WrapperListener_start_runner]  org.sonatype.nexus.bootstrap.ConfigurationBuilder -   nexus-app='/home/gamut/softwares/nexus-2.14.7-01/nexus/WEB-INF'
jvm 1    | 2018-03-02 16:09:06,454+0530 INFO  [WrapperListener_start_runner]  org.sonatype.nexus.bootstrap.ConfigurationBuilder -   nexus-webapp='/home/gamut/softwares/nexus-2.14.7-01/nexus'
jvm 1    | 2018-03-02 16:09:06,454+0530 INFO  [WrapperListener_start_runner]  org.sonatype.nexus.bootstrap.ConfigurationBuilder -   nexus-webapp-context-path='/nexus'
jvm 1    | 2018-03-02 16:09:06,454+0530 INFO  [WrapperListener_start_runner]  org.sonatype.nexus.bootstrap.ConfigurationBuilder -   nexus-work='/home/gamut/softwares/sonatype-work/nexus'
jvm 1    | 2018-03-02 16:09:06,454+0530 INFO  [WrapperListener_start_runner]  org.sonatype.nexus.bootstrap.ConfigurationBuilder -   org.eclipse.ecf.provider.filetransfer.retrieve.readTimeout='30000'
jvm 1    | 2018-03-02 16:09:06,454+0530 INFO  [WrapperListener_start_runner]  org.sonatype.nexus.bootstrap.ConfigurationBuilder -   runtime='/home/gamut/softwares/nexus-2.14.7-01/nexus/WEB-INF'
jvm 1    | 2018-03-02 16:09:06,454+0530 INFO  [WrapperListener_start_runner]  org.sonatype.nexus.bootstrap.ConfigurationBuilder -   security-xml-file='/home/gamut/softwares/nexus-2.14.7-01/../sonatype-work/nexus/conf/security.xml'
jvm 1    | 2018-03-02 16:09:06,454+0530 INFO  [WrapperListener_start_runner]  org.sonatype.nexus.bootstrap.ConfigurationBuilder -   storage.diskCache.bufferSize='4096'
jvm 1    | 2018-03-02 16:09:06,456+0530 INFO  [WrapperListener_start_runner]  org.sonatype.nexus.bootstrap.Launcher - Java: 1.8.0_161, Java HotSpot(TM) 64-Bit Server VM, Oracle Corporation, 25.161-b12
jvm 1    | 2018-03-02 16:09:06,456+0530 INFO  [WrapperListener_start_runner]  org.sonatype.nexus.bootstrap.Launcher - OS: Linux, 4.13.0-32-generic, amd64
jvm 1    | 2018-03-02 16:09:06,456+0530 INFO  [WrapperListener_start_runner]  org.sonatype.nexus.bootstrap.Launcher - User: gamut, en, /home/gamut
jvm 1    | 2018-03-02 16:09:06,456+0530 INFO  [WrapperListener_start_runner]  org.sonatype.nexus.bootstrap.Launcher - CWD: /home/gamut/softwares/nexus-2.14.7-01
jvm 1    | 2018-03-02 16:09:06,674+0530 INFO  [WrapperListener_start_runner]  org.sonatype.nexus.bootstrap.Launcher - TMP: /home/gamut/softwares/nexus-2.14.7-01/tmp
